file_path,valence,arousal
10-60-1280x720/00004.jpg,0.207,-0.436
10-60-1280x720/00025.jpg,0.353,0.054
10-60-1280x720/00041.jpg,0.219,0.204
10-60-1280x720/00048.jpg,0.231,0.275
10-60-1280x720/00050.jpg,0.298,0.275
10-60-1280x720/00083.jpg,0.148,0.077
10-60-1280x720/00109.jpg,0.148,0.054
10-60-1280x720/00112.jpg,0.148,0.038
10-60-1280x720/00121.jpg,0.148,0.038
10-60-1280x720/00146.jpg,0.275,0.093
10-60-1280x720/00150.jpg,0.275,0.093
10-60-1280x720/00152.jpg,0.275,0.093
10-60-1280x720/00160.jpg,0.188,0.093
10-60-1280x720/00167.jpg,0.176,0.133
10-60-1280x720/00180.jpg,0.393,0.409
10-60-1280x720/00184.jpg,0.48,0.409
10-60-1280x720/00190.jpg,0.519,0.338
10-60-1280x720/00207.jpg,0.46,0.219
10-60-1280x720/00212.jpg,0.448,0.188
10-60-1280x720/00225.jpg,0.393,0.115
10-60-1280x720/00236.jpg,0.497,0.298
10-60-1280x720/00239.jpg,0.551,0.35
10-60-1280x720/00248.jpg,0.669,0.424
10-60-1280x720/00263.jpg,0.503,0.176
10-60-1280x720/00265.jpg,0.464,0.133
10-60-1280x720/00270.jpg,0.424,0.109
10-60-1280x720/00277.jpg,0.353,0.115
10-60-1280x720/00296.jpg,0.298,0.109
10-60-1280x720/00297.jpg,0.298,0.133
10-60-1280x720/00316.jpg,0.243,0.133
10-60-1280x720/00317.jpg,0.219,0.121
10-60-1280x720/00320.jpg,0.219,0.127
10-60-1280x720/00323.jpg,0.219,0.127
10-60-1280x720/00379.jpg,0.338,0.133
10-60-1280x720/00382.jpg,0.338,0.133
10-60-1280x720/00386.jpg,0.298,0.133
10-60-1280x720/00389.jpg,0.298,0.133
10-60-1280x720/00405.jpg,0.375,0.219
10-60-1280x720/00410.jpg,0.409,0.338
10-60-1280x720/00421.jpg,0.298,0.219
10-60-1280x720/00426.jpg,0.219,0.133
10-60-1280x720/00437.jpg,0.219,0.127
10-60-1280x720/00462.jpg,0.369,0.188
10-60-1280x720/00463.jpg,0.369,0.188
10-60-1280x720/00466.jpg,0.369,0.188
10-60-1280x720/00468.jpg,0.369,0.188
10-60-1280x720/00473.jpg,0.369,0.204
10-60-1280x720/00474.jpg,0.338,0.188
10-60-1280x720/00481.jpg,0.338,0.148
10-60-1280x720/00489.jpg,0.369,0.188
10-60-1280x720/00493.jpg,0.369,0.243
10-60-1280x720/00517.jpg,0.207,0.148
10-60-1280x720/00523.jpg,0.448,0.353
10-60-1280x720/00534.jpg,0.48,0.369
10-60-1280x720/00544.jpg,0.338,0.188
10-60-1280x720/00552.jpg,0.338,0.133
10-60-1280x720/00555.jpg,0.338,0.133
10-60-1280x720/00567.jpg,0.338,0.133
10-60-1280x720/00570.jpg,0.338,0.176
10-60-1280x720/00589.jpg,0.614,0.503
10-60-1280x720/00597.jpg,0.48,0.543
10-60-1280x720/00608.jpg,0.353,0.148
10-60-1280x720/00613.jpg,0.338,0.133
10-60-1280x720/00674.jpg,0.874,0.653
10-60-1280x720/00683.jpg,0.874,0.519
10-60-1280x720/00698.jpg,0.63,0.464
10-60-1280x720/00705.jpg,0.559,0.464
10-60-1280x720/00721.jpg,0.393,0.369
10-60-1280x720/00725.jpg,0.338,0.338
10-60-1280x720/00731.jpg,0.338,0.247
10-60-1280x720/00734.jpg,0.338,0.148
10-60-1280x720/00756.jpg,0.314,0.48
10-60-1280x720/00819.jpg,0.464,0.519
10-60-1280x720/00832.jpg,0.519,0.543
10-60-1280x720/00834.jpg,0.519,0.543
10-60-1280x720/00835.jpg,0.519,0.543
10-60-1280x720/00837.jpg,0.519,0.574
10-60-1280x720/00838.jpg,0.519,0.574
10-60-1280x720/00840.jpg,0.519,0.574
10-60-1280x720/00842.jpg,0.519,0.574
10-60-1280x720/00846.jpg,0.519,0.574
10-60-1280x720/00860.jpg,0.519,0.543
10-60-1280x720/00871.jpg,0.409,0.614
10-60-1280x720/00885.jpg,0.393,0.48
10-60-1280x720/00907.jpg,0.503,0.353
10-60-1280x720/00922.jpg,0.503,0.486
